Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,EMA12,EMA26,MACDLine,MACDSignal,MACDHisto,EMA20,MiddleBand,SMA20,StandarDeviation20,UpperBand,LowerBand,SMACall,EMACall,MACDCall,BollingerCall,RSI,RSICall,Call,OBV,OBVCall,EMAFE,EMA5,SMAFE,MACDHistoFE,OBVFE,RSIFE,MLCall
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-02,2353.649169921875,2380.416259765625,2351.98779296875,2377.554931640625,2369.185791015625,2658087,2377.554931640625,2377.554931640625,2377.554931640625,2377.554931640625,0.0,0.0,0.0,2377.554931640625,2377.554931640625,2377.554931640625,0.0,2377.554931640625,2377.554931640625,0,0,0,0,0.0,1,0,0.0,0,-0.0332715477375566,2377.554931640625,-0.0352831100112837,-0.0940892650485585,-1.5828618160281314,-2.0840647507542163,1.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-01-03,2367.540283203125,2374.878173828125,2351.61865234375,2360.15625,2351.848388671875,3829466,2360.15625,2360.15625,2360.15625,2360.15625,0.0,0.0,0.0,2360.15625,2360.15625,2360.15625,0.0,2360.15625,2360.15625,0,0,0,0,0.0,1,0,0.0,0,-0.1023968596894559,2360.15625,-0.1101666299564127,-0.0940892650485585,-1.5828618160281314,-2.0840647507542163,1.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-01-04,2360.110107421875,2363.848388671875,2320.421142578125,2324.620849609375,2316.438232421875,4632445,2324.620849609375,2324.620849609375,2324.620849609375,2324.620849609375,0.0,0.0,0.0,2324.620849609375,2324.620849609375,2324.620849609375,0.0,2324.620849609375,2324.620849609375,0,0,0,0,0.0,1,0,0.0,0,-0.243579719866749,2324.620849609375,-0.2631101643502016,-0.0940892650485585,-1.5828618160281314,-2.0840647507542163,1.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-01-05,2329.189697265625,2341.096435546875,2311.191162109375,2320.46728515625,2312.29931640625,6818549,2320.46728515625,2320.46728515625,2320.46728515625,2320.46728515625,0.0,0.0,0.0,2320.46728515625,2320.46728515625,2320.46728515625,0.0,2320.46728515625,2320.46728515625,0,0,0,0,0.0,1,0,0.0,0,-0.260081914944805,2320.46728515625,-0.2809870088717266,-0.0940892650485585,-1.5828618160281314,-2.0840647507542163,1.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-01-06,2332.09716796875,2351.757080078125,2324.39013671875,2341.557861328125,2333.3154296875,3174798,2341.557861328125,2341.557861328125,2341.557861328125,2341.557861328125,0.0,0.0,0.0,2341.557861328125,2341.557861328125,2341.557861328125,0.0,2341.557861328125,2341.557861328125,0,0,0,0,0.0,1,0,3174798.0,1,-0.1762886317961525,2341.557861328125,-0.1902136609800566,-0.0940892650485585,-1.5720319042555364,-2.0840647507542163,1.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-01-09,2349.31103515625,2401.645263671875,2347.51123046875,2396.845458984375,2388.408447265625,5361376,2344.871435546875,2359.987060546875,2396.845458984375,2396.845458984375,0.0,0.0,0.0,2396.845458984375,2396.845458984375,2396.845458984375,0.0,2396.845458984375,2396.845458984375,-1,-1,0,0,66.74278212796642,0,1,8536174.0,1,-0.1030690527882093,2359.987060546875,-0.1759521148339358,-0.0940892650485585,-1.5537431094850631,0.789101187227649,1.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-01-10,2405.337158203125,2405.337158203125,2349.957275390625,2361.40234375,2353.090087890625,4023571,2348.729541015625,2360.4588216145835,2361.40234375,2361.40234375,0.0,0.0,0.0,2361.40234375,2361.40234375,2361.40234375,0.0,2361.40234375,2361.40234375,-1,-1,0,0,60.39412696257506,0,1,8536174.0,0,-0.1011947365816316,787.1341145833333,-0.1593469188893796,-0.0940892650485585,-1.5537431094850631,0.5158021248927588,1.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-01-11,2355.956787109375,2361.033203125,2326.974365234375,2331.6357421875,2323.428466796875,5754776,2348.978759765625,2350.851128472222,2331.6357421875,2331.6357421875,0.0,0.0,0.0,2331.6357421875,2331.6357421875,2331.6357421875,0.0,2331.6357421875,2331.6357421875,1,1,0,0,62.28832879047015,0,0,8536174.0,0,-0.1393662945951497,777.2119140625,-0.1582742872025762,-0.0940892650485585,-1.5537431094850631,0.5973443680844871,1.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-01-12,2330.435791015625,2337.49658203125,2275.194091796875,2281.285888671875,2273.255615234375,8844386,2350.38173828125,2327.66271520544,2281.285888671875,2281.285888671875,0.0,0.0,0.0,2281.285888671875,2281.285888671875,2281.285888671875,0.0,2281.285888671875,2281.285888671875,1,1,0,0,49.78439941884119,0,1,8536174.0,0,-0.2314943266980643,760.4286295572916,-0.1522359003967578,-0.0940892650485585,-1.5537431094850631,0.0590709725791213,1.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-01-13,2269.102294921875,2282.48583984375,2247.135009765625,2277.593994140625,2269.576904296875,10309291,2342.545458984375,2310.973141517168,2277.593994140625,2277.593994140625,0.0,0.0,0.0,2277.593994140625,2277.593994140625,2277.593994140625,0.0,2277.593994140625,2277.593994140625,1,1,0,0,64.96744570339229,0,1,8536174.0,0,-0.2978023384989253,759.197998046875,-0.1859630637039466,-0.0940892650485585,-1.5537431094850631,0.7126759022617775,1.0
